Date,Time,date_time,air_temp_high_24_hour
11/24/2023,07:53AM,11/24/23-07:53AM,69.98
11/23/2023,07:53AM,11/23/23-07:53AM,82.94
11/22/2023,07:53AM,11/22/23-07:53AM,82.04
11/21/2023,07:53AM,11/21/23-07:53AM,73.04
11/20/2023,07:53AM,11/20/23-07:53AM,71.96
11/19/2023,07:53AM,11/19/23-07:53AM,69.98
11/18/2023,07:53AM,11/18/23-07:53AM,71.96
11/17/2023,07:53AM,11/17/23-07:53AM,73.04
11/16/2023,07:53AM,11/16/23-07:53AM,69.08
11/15/2023,07:53AM,11/15/23-07:53AM,77
11/14/2023,07:53AM,11/14/23-07:53AM,73.94
11/13/2023,07:53AM,11/13/23-07:53AM,84.02
11/12/2023,07:53AM,11/12/23-07:53AM,77
11/11/2023,07:53AM,11/11/23-07:53AM,73.94
11/10/2023,07:53AM,11/10/23-07:53AM,78.08
11/9/2023,07:53AM,11/09/23-07:53AM,77
11/8/2023,07:53AM,11/08/23-07:53AM,71.06
11/7/2023,07:53AM,11/07/23-07:53AM,71.06
11/6/2023,07:53AM,11/06/23-07:53AM,71.96
11/5/2023,07:53AM,11/05/23-07:53AM,69.98
11/4/2023,07:53AM,11/04/23-07:53AM,77
11/3/2023,07:53AM,11/03/23-07:53AM,80.06
11/2/2023,07:53AM,11/02/23-07:53AM,86
11/1/2023,07:53AM,11/01/23-07:53AM,82.94
10/31/2023,07:53AM,10/31/23-07:53AM,80.06
10/30/2023,07:53AM,10/30/23-07:53AM,78.98
10/29/2023,07:53AM,10/29/23-07:53AM,71.96
10/28/2023,07:53AM,10/28/23-07:53AM,71.96
10/27/2023,07:53AM,10/27/23-07:53AM,69.98
10/26/2023,07:53AM,10/26/23-07:53AM,71.06
10/25/2023,07:53AM,10/25/23-07:53AM,73.04
10/24/2023,07:53AM,10/24/23-07:53AM,73.04
10/23/2023,07:53AM,10/23/23-07:53AM,73.04
10/22/2023,07:53AM,10/22/23-07:53AM,77
10/21/2023,07:53AM,10/21/23-07:53AM,75.02
10/20/2023,07:53AM,10/20/23-07:53AM,71.96
10/19/2023,07:53AM,10/19/23-07:53AM,69.98
10/18/2023,07:53AM,10/18/23-07:53AM,71.96
10/17/2023,07:53AM,10/17/23-07:53AM,75.92
10/16/2023,07:53AM,10/16/23-07:53AM,78.98
10/15/2023,07:53AM,10/15/23-07:53AM,73.04
10/14/2023,07:53AM,10/14/23-07:53AM,75.02
10/13/2023,07:53AM,10/13/23-07:53AM,75.02
10/12/2023,07:53AM,10/12/23-07:53AM,71.96
10/11/2023,07:53AM,10/11/23-07:53AM,73.04
10/10/2023,07:53AM,10/10/23-07:53AM,69.08
10/9/2023,07:53AM,10/09/23-07:53AM,71.06
10/8/2023,07:53AM,10/08/23-07:53AM,78.98
10/7/2023,07:53AM,10/07/23-07:53AM,84.02
10/6/2023,07:53AM,10/06/23-07:53AM,91.04
10/5/2023,07:53AM,10/05/23-07:53AM,80.96
10/4/2023,07:53AM,10/04/23-07:53AM,77
10/3/2023,07:53AM,10/03/23-07:53AM,69.98
10/2/2023,07:53AM,10/02/23-07:53AM,69.08
10/1/2023,07:53AM,10/01/23-07:53AM,69.08
9/30/2023,07:53AM,09/30/23-07:53AM,69.98
9/29/2023,07:53AM,09/29/23-07:53AM,73.04
9/28/2023,07:53AM,09/28/23-07:53AM,75.02
9/27/2023,07:53AM,09/27/23-07:53AM,75.02
9/26/2023,07:53AM,09/26/23-07:53AM,73.94
9/25/2023,07:53AM,09/25/23-07:53AM,73.04
9/24/2023,07:53AM,09/24/23-07:53AM,71.96
9/23/2023,07:53AM,09/23/23-07:53AM,71.96
9/22/2023,07:53AM,09/22/23-07:53AM,71.06
9/21/2023,07:53AM,09/21/23-07:53AM,73.04
9/20/2023,07:53AM,09/20/23-07:53AM,75.02
9/19/2023,07:53AM,09/19/23-07:53AM,78.98
9/18/2023,07:53AM,09/18/23-07:53AM,71.06
9/17/2023,07:53AM,09/17/23-07:53AM,69.08
9/16/2023,07:53AM,09/16/23-07:53AM,73.04
9/15/2023,07:53AM,09/15/23-07:53AM,73.94
9/14/2023,07:53AM,09/14/23-07:53AM,75.92
9/13/2023,07:53AM,09/13/23-07:53AM,75.92
9/12/2023,07:53AM,09/12/23-07:53AM,84.92
9/11/2023,07:53AM,09/11/23-07:53AM,87.08
9/10/2023,07:53AM,09/10/23-07:53AM,82.04
9/9/2023,07:53AM,09/09/23-07:53AM,82.04
9/8/2023,07:53AM,09/08/23-07:53AM,75.02
9/7/2023,07:53AM,09/07/23-07:53AM,75.92
9/6/2023,07:53AM,09/06/23-07:53AM,71.96
9/5/2023,07:53AM,09/05/23-07:53AM,73.94
9/4/2023,07:53AM,09/04/23-07:53AM,77
9/3/2023,07:53AM,09/03/23-07:53AM,78.08
9/2/2023,07:53AM,09/02/23-07:53AM,80.96
9/1/2023,07:53AM,09/01/23-07:53AM,75.92
8/31/2023,07:53AM,08/31/23-07:53AM,82.94
8/30/2023,07:53AM,08/30/23-07:53AM,82.04
8/29/2023,07:53AM,08/29/23-07:53AM,84.92
8/28/2023,07:53AM,08/28/23-07:53AM,77
8/27/2023,07:53AM,08/27/23-07:53AM,75.02
8/26/2023,07:53AM,08/26/23-07:53AM,73.04
8/25/2023,07:53AM,08/25/23-07:53AM,71.96
8/24/2023,07:53AM,08/24/23-07:53AM,73.94
8/22/2023,07:53AM,08/22/23-07:53AM,75.92
8/21/2023,07:53AM,08/21/23-07:53AM,77
8/20/2023,07:53AM,08/20/23-07:53AM,75.02
8/19/2023,07:53AM,08/19/23-07:53AM,73.04
8/18/2023,07:53AM,08/18/23-07:53AM,71.06
8/17/2023,07:53AM,08/17/23-07:53AM,73.94
8/16/2023,07:53AM,08/16/23-07:53AM,73.04
8/15/2023,07:53AM,08/15/23-07:53AM,73.94
8/14/2023,07:53AM,08/14/23-07:53AM,75.02
8/13/2023,07:53AM,08/13/23-07:53AM,75.92
8/12/2023,07:53AM,08/12/23-07:53AM,75.02
8/11/2023,07:53AM,08/11/23-07:53AM,78.98
8/10/2023,07:53AM,08/10/23-07:53AM,75.02
8/9/2023,07:53AM,08/09/23-07:53AM,78.98
8/8/2023,07:53AM,08/08/23-07:53AM,77
8/7/2023,07:53AM,08/07/23-07:53AM,75.92
8/3/2023,07:53AM,08/03/23-07:53AM,77
8/2/2023,07:53AM,08/02/23-07:53AM,78.98
8/1/2023,07:53AM,08/01/23-07:53AM,84.02
7/31/2023,07:53AM,07/31/23-07:53AM,80.06
7/30/2023,07:53AM,07/30/23-07:53AM,78.98
7/29/2023,07:53AM,07/29/23-07:53AM,78.08
7/28/2023,07:53AM,07/28/23-07:53AM,80.06
7/27/2023,07:53AM,07/27/23-07:53AM,82.04
7/26/2023,07:53AM,07/26/23-07:53AM,77
7/25/2023,07:53AM,07/25/23-07:53AM,73.94
7/24/2023,07:53AM,07/24/23-07:53AM,80.96
7/23/2023,07:53AM,07/23/23-07:53AM,73.94
7/22/2023,07:53AM,07/22/23-07:53AM,73.04
7/21/2023,07:53AM,07/21/23-07:53AM,75.92
7/20/2023,07:53AM,07/20/23-07:53AM,75.02
7/19/2023,07:53AM,07/19/23-07:53AM,75.92
7/18/2023,07:53AM,07/18/23-07:53AM,75.92
7/17/2023,07:53AM,07/17/23-07:53AM,75.02
7/16/2023,07:53AM,07/16/23-07:53AM,73.04
7/15/2023,07:53AM,07/15/23-07:53AM,77
7/14/2023,07:53AM,07/14/23-07:53AM,75.92
7/13/2023,07:53AM,07/13/23-07:53AM,75.92
7/12/2023,07:53AM,07/12/23-07:53AM,71.06
7/11/2023,07:53AM,07/11/23-07:53AM,73.04
7/10/2023,07:53AM,07/10/23-07:53AM,71.96
7/9/2023,07:53AM,07/09/23-07:53AM,71.06
7/8/2023,07:53AM,07/08/23-07:53AM,69.98
7/7/2023,07:53AM,07/07/23-07:53AM,69.98
7/6/2023,07:53AM,07/06/23-07:53AM,69.08
7/5/2023,07:53AM,07/05/23-07:53AM,69.08
7/4/2023,07:53AM,07/04/23-07:53AM,69.08
7/3/2023,07:53AM,07/03/23-07:53AM,69.08
7/2/2023,07:53AM,07/02/23-07:53AM,69.98
